ID,Restaurant,Address,Time,Price,District,latitude,longitude
15,HỦ TÍU NAM VANG DÌ SƯƠNG,"60 Tôn Thất Đạm, P. Bến Nghé, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,10.7734873,106.7023364
16,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,"15E Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",,20.000 - 60.000,Quận 1,10.7709739,106.7024697
17,Marukame Udon - Udon & Tempura - Hai Bà Trưng,"342 - 344 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",,60.000 - 300.000,Quận 1,10.7903128,106.6888955
18,Xôi Gà Tân Định 310 - Hai Bà Trưng,"297 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",,15.000 - 25.000,Quận 1,10.7903128,106.6888955
19,Bò Bía Lý,"120E Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,5.000 - 5.000,Quận 1,10.7926943,106.6960027
20,Nem Nướng D'ran - Since 1968 - Nguyễn Thị Minh Khai,"17/7B Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",,40.000 - 70.000,Quận 1,10.785089,106.7006268
21,Cu Sữa - Hot Dog,"59 Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM",,10.000 - 20.000,Quận 1,10.7792809,106.7002377
22,Bánh Mì Chim Chạy - Nguyễn Thị Minh Khai,"147D Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 20:00,15.000 - 30.000,Quận 1,10.7707733,106.6868036
23,Marukame Udon - Udon & Tempura - Lý Tự Trọng,"215 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",,60.000 - 300.000,Quận 1,10.7727745,106.6955122
24,Kem Bơ - Trái Cây Tô 251 - Nguyễn Thị Minh Khai,"18A Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",,10.000 - 25.000,Quận 1,10.7861099,106.700575
25,LALA Salad - Healthy Food - Nguyễn Cảnh Chân,"TK33/23 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",,25.000 - 200.000,Quận 1,10.7582569,106.6893953
26,Chè Khúc Bạch Thanh - Trần Quang Khải,"68/210 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,20.000 - 33.000,Quận 1,10.7927082,106.6957114
27,Phú Bến Tre - Hủ Tiếu Mực & Bún Thái Hải Sản,"2Bis Mai Thị Lựu, P. Dakao, Quận 1, TP. HCM",06:30 - 21:00,30.000 - 50.000,Quận 1,10.7922529,106.6979689
28,"Chú Phúc - Mì Xào, Nui Xào & Cơm Chiên","Hẻm Công Viên 173 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM, Quận 1, TP. HCM",,35.000 - 50.000,Quận 1,10.795323,106.6896422
29,Hà La Cà - Bánh Mì Bình Định & Bánh Cuốn Tây Sơn - Huỳnh Khương Ninh,"20 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",,0 - 0,Quận 1,10.7897416,106.6959369
30,Con Gà Mái - Cơm Gà Phú Yên - Trần Cao Vân,"21A Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",,10.000 - 280.000,Quận 1,10.7837928,106.6970271
31,Xôi Chè Bùi Thị Xuân - Bùi Thị Xuân,"111 Bùi Thị Xuân, P. Phạm Ngũ Lão , Quận 1, TP. HCM",,25.000 - 55.000,Quận 1,10.7679916,106.6865562
32,Gà Ta Xứ Quảng - Nguyễn Văn Cừ,"116 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 300.000,Quận 1,10.7589691,106.6842566
33,"Bánh Bao, Há Cảo & Xíu Mại - Cô Giang","61/30 Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,6.000 - 50.000,Quận 1,10.7643264,106.6962959
34,Hủ Tiếu Mực Ông Già - Tôn Thất Thiệp,"62/3 Tôn Thất Thiệp, P. Bến Nghé, Quận 1, TP. HCM",06:00 - 21:00,30.000 - 50.000,Quận 1,10.7733821,106.7019531
35,Cơm Gà Xối Mỡ 149 - Cơm Gà Mắm Tỏi,"149 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,40.000 - 65.000,Quận 1,10.7927082,106.6957114
36,Gỏi Cuốn & Bò Bía - Bùi Viện,"148/18 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,6.000 - 150.000,Quận 1,10.7667355,106.6924554
37,Cháo Sườn Cô Dung,"52 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",07:00 - 11:00 | 16:30 - 21:00,15.000 - 30.000,Quận 1,10.7917653,106.6914831
38,Bánh Bò Thốt Nốt COCOCake - Lò Bánh Minh Khai,"18A/29 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",,95.000 - 150.000,Quận 1,10.7908473,106.7055536
39,Wow Chicken - Gà Rán & Cơm Gà - Sương Nguyệt Ánh,"1A Ter Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",,5.000 - 100.000,Quận 1,10.7719242,106.6890942
40,Quán Giá Hẹ - Cơm Sườn & Hủ Tiếu,"269 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,30.000 - 45.000,Quận 1,10.7685232,106.693335
41,Bún Chả Phố Hàng Quạt,"271 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",06:15 - 22:00,8.000 - 42.000,Quận 1,10.7629997,106.6868033
42,Bánh Mì Chả Cá - Bùi Thị Xuân - Chi Nhánh 1,"77G Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 22:00,10.000 - 12.000,Quận 1,10.7679916,106.6865562
43,Bún Chả Bà Bính - Nguyễn Trung Ngạn,"5/4 Nguyễn Trung Ngạn, P. Bến Nghé, Quận 1, TP. HCM",07:00 - 21:00,50.000 - 60.000,Quận 1,10.7835028,106.7051249
44,Vũ Trụ Mì Trộn - Nguyẽn Văn Giai,"34 Nguyễn Văn Giai, P. Đa Kao, Quận 1, TP. HCM",,29.000 - 65.000,Quận 1,10.7926284,106.697328
45,Cơm Văn Phòng Tuấn Kiệt - 25Bis Cô Giang,"25Bis Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,0 - 0,Quận 1,10.7643264,106.6962959
46,Quán Ăn Huế O Xuân,"22 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",,15.000 - 44.000,Quận 1,10.7917653,106.6914831
47,Bà Xã Vegan - Nhà Hàng Chay - Pasteur,"178/4 Pasteur, P. Bến Nghé, Quận 1, TP. HCM",,40.000 - 100.000,Quận 1,10.7709739,106.7024697
48,Há Cảo Ngọc Lan - Trần Đình Xu,"35/11A Trần Đình Xu, Quận 1, TP. HCM",07:00 - 12:30 | 14:10 - 20:10,7.000 - 20.000,Quận 1,10.7630572,106.6874926
49,Bánh Mì Grandma Lu - Cô Bắc,"41 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",06:30 - 21:00,20.000 - 50.000,Quận 1,10.7655737,106.6956108
50,Lộc Ký - Mì Vịt Tiềm - 86 Đề Thám,"86 Đề Thám, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,0 - 0,Quận 1,10.7632124,106.6959182
51,Nem Nướng D'ran Since 1968 - Healthy & Fresh - Nguyễn Trãi,"212B/D13 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,40.000 - 70.000,Quận 1,10.7653674,106.6867017
52,Pao Bến Thành - Phó Đức Chính,"84 Phó Đức Chính, P. Nguyễn Thái Bình, Quận 1, TP. HCM",,5.000 - 50.000,Quận 1,10.7709216,106.6989969
53,A Tài - Bún Thịt Nướng - Nguyễn Văn Thủ,"152 Đường Nguyễn Văn Thủ, P. Đa Kao, Quận 1, TP. HCM",06:00 - 22:00,20.000 - 30.000,Quận 1,10.7865712,106.6957974
54,Mì Ý A Hoài Spaghetti - Không Chi Nhánh - 55/3B Trần Đình Xu Quận 1,"55/3B Trần Đình Xu, P. Cầu Kho, Quận 1, TP. HCM",,35.000 - 215.000,Quận 1,10.7604444,106.6915233
55,Daiichi - Ramen & Curry - Thái Văn Lung,"8A/2B2 Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",,10.000 - 180.000,Quận 1,10.7797191,0.0
56,Dimsum Homemade - Há Cảo Đặc Biệt - Trần Khắc Chân,"77 Trần Khắc Chân, Quận 1, TP. HCM",,30.000 - 30.000,Quận 1,10.7936603,106.6910916
57,Phở Thìn By Sol - Hải Triều,"27 Hải Triều, P. Bến Nghé, Quận 1, TP. HCM",,20.000 - 500.000,Quận 1,10.7717626,106.7049615
58,Fua Chảy Tiêm - Bún Gạo Singapore & Pad Thái - Hoàng Sa,"127 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM",,15.000 - 60.000,Quận 1,10.795323,106.6896422
59,Bánh Mì Bảy Hổ,"19 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",05:15 - 20:15,10.000 - 20.000,Quận 1,10.7897416,106.6959369
60,Clover Korean House Food,"2/2 Phan Liêm, P. Đa Kao, Quận 1, TP. HCM",,20.000 - 61.000,Quận 1,10.7887616,106.6959171
61,BEAR KHOAI - Khoai Tây Chiên Gà Chiên Sốt Nhiều Vị - Trần Khắc Chân,"89 Trần Khắc Chân, P. Tân Định, Quận 1, TP. HCM",,0 - 0,Quận 1,10.7936603,106.6910916
62,Vạn Quán - Lẩu Gà Lá É - Cô Giang,"45 Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,30.000 - 300.000,Quận 1,10.7643484,106.6962681
63,Bún Bò Huế Nam Giao - Đề Thám,"242 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",07:00 - 23:00,25.000 - 55.000,Quận 1,10.7682389,106.6935934
64,Ốc Bắc Mình Ơi Q1 - Hồ Hảo Hớn,"62A Hồ Hảo Hớn, P. Cô Giang, Quận 1, TP. HCM",,20.000 - 90.000,Quận 1,10.761141,106.692492
65,Thế Giới Tàu Hũ - Trần Đình Xu,"122D Trần Đình Xu, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 44.000,Quận 1,10.7630572,106.6874926
66,Gà Rán & Burger McDonald's Nguyen Hue,"123 - 125 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",,25.000 - 80.000,Quận 1,10.776239,106.7015828
67,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Nguyễn Thị Minh Khai,"25/5 Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",,19.000 - 79.000,Quận 1,10.7709739,106.7024697
68,Thành Đạt - Hủ Tiếu Nam Vang - Phạm Ngũ Lão,"239 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 23:59,35.000 - 50.000,Quận 1,10.7698062,106.696162
69,Gà Rán KFC - Lê Lai,"78 Lê Lai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,30.000 - 88.000,Quận 1,10.7708113,106.6957955
70,Little Bodhi Tree Saigon - Nhà Hàng Chay,"185/16 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,400.000 - 700.000,Quận 1,10.7698062,106.696162
71,Vịt Quay Huỳnh Ký - Cầu Bông,"2 Bis Trần Quang Khải, Quận 1, TP. HCM",06:00 - 20:45,100.000 - 220.000,Quận 1,10.7927082,106.6957114
72,"Quán Bà Ba - Hủ Tiếu, Mỳ & Bánh Mì Bò Kho","275D/5 Phạm Ngũ Lão, Quận 1, TP. HCM",,40.000 - 40.000,Quận 1,10.7673332,106.6905498
73,Miến Cua 94 - Chính Gốc,"94 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,50.000 - 110.000,Quận 1,10.7876959,106.7004304
74,Bún Bò Hoàng Kim - Bò Kho Bánh Mì & Hủ Tiếu Bò Kho - Tôn Thất Đạm,"119 Tôn Thất Đạm, P. Bến Nghé, Quận 1, TP. HCM",06:30 - 21:15,30.000 - 45.000,Quận 1,10.7734873,106.7023364
75,CoCo Ichibanya - Lý Tự Trọng,"13 Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM",,48.000 - 153.000,Quận 1,10.7803853,106.7032908
76,"Bánh Bao, Há Cảo & Xíu Mại - Đề Thám","57A Đề Thám, P. Cô Giang, Quận 1, TP. HCM",,10.000 - 30.000,Quận 1,10.7641902,106.6953627
77,Cô Thảo Tôm Cá - Cá Hồi Ngâm Tương - Trần Đình Xu,"42/2 Trần Đình Xu, P. Cô Giang, Quận 1, TP. HCM",,0 - 0,Quận 1,10.7596798,106.6920412
78,Phở 24 - Nguyễn Văn Chiêm,"9 Nguyễn Văn Chiêm, P. Bến Nghé, Quận 1, TP. HCM",06:00 - 21:45,20.000 - 30.000,Quận 1,10.7813701,106.6982259
79,Ăn Vặt RIO - Shop Online,"95/34 Lê Thị Riêng, P. Bến Thành, Quận 1, TP. HCM",,80.000 - 300.000,Quận 1,10.7712008,106.6908271
80,Bún Riêu & Canh Bún - Cống Quỳnh,"B1-02 Chung Cư 189B, Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,20.000 - 60.000,Quận 1,10.7635026,106.6905496
81,Cô Bông - Bún Mắm - Chợ Tân Định,"Đối Diện 125 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",05:30 - 17:00,35.000 - 45.000,Quận 1,10.7917653,106.6914831
82,Cơm Tấm Thuận Kiều - Tôn Thất Tùng,"26 Tôn Thất Tùng, P. Bến Thành, Quận 1, TP. HCM",07:00 - 20:20,25.000 - 275.000,Quận 1,10.7693926,106.689132
83,Bún Mọc Thanh Mai - Chợ Bến Thành,"14 Trương Định, P. Bến Thành, Quận 1, TP. HCM",05:30 - 14:15,40.000 - 66.000,Quận 1,10.7746806,106.6932415
84,Bún Chả Hà Nội 1982 - Đinh Tiên Hoàng,"18 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,35.000 - 50.000,Quận 1,10.7876959,106.7004304
85,Bánh Mì A Vĩ - Nguyễn Cảnh Chân,"TK44/2 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",05:30 - 14:00 | 16:00 - 23:00,4.000 - 45.000,Quận 1,10.7660605,0.0
86,RikaDon - Cơm Thịt Nướng Nhật Bản - Trần Khánh Dư,"53/46 Trần Khánh Dư, P. Tân Định, Quận 1, TP. HCM",,0 - 0,Quận 1,10.7677766,106.6897807
87,Miến Phở Gà 43 Mạc Đĩnh Chi - Trần Cao Vân,"Số 9 Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",05:40 - 20:38,50.000 - 110.000,Quận 1,10.7701097,106.6970271
88,Milo Dầm - Chung Cư 42,"Tầng Trệt, Tầng Trệt Chung Cư 42, 42 Tôn Thất Hiệp, P. Bến Nghé, Quận 1, TP. HCM",,20.000 - 30.000,Quận 1,10.7927659,0.0
89,Hủ Tiếu Nam Vang & Mì Bò Viên A Sìn,"212/325A Nguyễn Văn Nguyễn, P. Tân Định, Quận 1, TP. HCM",,45.000 - 86.000,Quận 1,10.7927082,106.6878703
90,Hảo Ký Mì Gia - Hủ Tiếu Xào - Đinh Công tráng,"67H/1 Đinh Công Tráng. P. Tân Định, Quận 1, TP. HCM",07:00 - 22:30,0 - 0,Quận 1,10.7677621,106.6921708
91,Kibi - Bánh Gạo Lắc - Cô Giang,"50 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",,15.000 - 25.000,Quận 1,10.7792809,106.6954621
92,Cơm Niêu Thiên Lý - Nguyễn Đình Chiểu,"16 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM",,20.000 - 100.000,Quận 1,10.7927026,106.7023469
93,Miss Đác - Chè Không Ngọt - Hoàng Sa,"111B Hoàng Sa, P. Đa Kao, Quận 1, TP. HCM",,0 - 20.000,Quận 1,10.7936603,106.6998875
94,Hai Thuận - Bún Cay Thái & Mì Trộn - Đề Thám,"155 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",,30.000 - 60.000,Quận 1,10.7735201,106.6953627
95,Bánh Tráng Muối NPT Food - Nguyễn Công Trứ,"372 Nguyễn Công Trứ, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,10.7643264,106.6981643
96,"Cơm Gà, Mẹt Gà, Gỏi - Gà Ta Ngon Số 1 – 226 Đinh Tiên Hoàng","226 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,20.000 - 200.000,Quận 1,10.7655737,106.6990217
97,Chewy Chewy - Cafe & Bánh - Trần Hưng Đạo,"34 Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,20.000 - 60.000,Quận 1,10.7644597,106.6952753
98,MATSURI - Japanese Restaurant - Pasteur,"180A Pasteur, P. Bến Thành, Quận 1, TP. HCM",,0 - 0,Quận 1,10.7734873,106.7024697
99,Sukiya - Cơm Bò Hầm & Mì Ramen - Thái Văn Lung,"10Ab Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",,15.000 - 99.000,Quận 1,10.7709739,106.7041192
100,Jjang! - Cơm Trộn Hàn Quốc - Nguyễn Thái Bình,"128 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",00:00 - 23:59,10.000 - 100.000,Quận 1,10.7903128,106.6981247
101,Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,"166 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 22:00,10.000 - 45.000,Quận 1,10.7903128,106.6866303
102,Nao Ăn Uống Ngay Nào - Trần Hưng Đạo,"Hẻm 391 TK 43/2 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",,16.000 - 68.000,Quận 1,10.7926943,0.0
103,Miến Lươn Thanh Thảo - Lý Tự Trọng,"176/13 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",05:30 - 12:45,50.000 - 132.000,Quận 1,10.77347076,106.6957289
104,Quán Chay Sala,"71C Nguyễn Thị Minh Khai, P. Bến Thành, Quận 1, TP. HCM",06:00 - 20:55,17.000 - 45.000,Quận 1,10.7792809,106.6891054
105,Bánh Mì Anh Phán - Bánh Mì Gà & Thịt Nguội,"145 Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",05:35 - 22:30,10.000 - 20.000,Quận 1,10.7707733,106.6863986
106,"Tuấn Phương - Mì Xào, Nui Xào & Ăn Vặt","162/13 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,5.000 - 35.000,Quận 1,10.7727745,106.6866303
107,Vựa Cơm Sài Gòn,"6/3 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",,18.000 - 50.000,Quận 1,10.7861099,106.7032699
108,Bánh Mì Que Pháp - Bùi Viện,"114 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:30 - 16:30,10.000 - 17.000,Quận 1,10.7582569,106.6924554
109,Cơm - Mì Trộn MU Summer,"214/B17 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,7.000 - 66.000,Quận 1,10.7927082,106.6866177
110,Sơn Nga Phở Gà - Nguyễn Đình Chiểu,"48 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM",05:45 - 20:00,30.000 - 55.000,Quận 1,10.7922529,106.6995877
111,Gà Rán & Burger McDonald's Ben Thanh,"2-2A Trần Hưng Đạo, P. Bến Thành, Quận 1, TP. HCM",00:00 - 23:59,50.000 - 200.000,Quận 1,10.795323,106.691401
112,Anh Tùng - Cá Viên Chiên Nước Mắm,"36 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",,19.000 - 340.000,Quận 1,10.7897416,106.694062
113,Gimbap Korean Food - Món ăn Hàn Quốc,"43/3 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,30.000 - 100.000,Quận 1,10.7837928,106.695474
114,Bà Bành Bakery - Bông Lan Trứng Muối - Sương Nguyệt Ánh,"1 Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",,0 - 0,Quận 1,10.7679916,106.6890942
115,Geylang Lor 9 - Cháo Ếch Singapore - Đông Du,"35 Đông Du, P. Bến Nghé, Quận 1, TP. HCM",,200.000 - 300.000,Quận 1,10.7589691,106.7053855
116,Cháo Trắng Hột Vịt Muối - Trần Khắc Chân,"10 Trần Khắc Chân, P. Tân Định, Quận 1, TP. HCM",,10.000 - 20.000,Quận 1,10.7643264,106.6910916
117,Cơm Chiên Chảo Lửa - Gà Xối Mỡ - Nguyễn Thái Bình,"128 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",00:00 - 23:59,10.000 - 100.000,Quận 1,10.7733821,106.6981247
118,Tré Trộn Cô Ri - Đông Du,"58 Đông Du, P. Bến Thành, Quận 1, TP. HCM",,12.000 - 100.000,Quận 1,10.7927082,106.7053855
119,"Gotcha - Burger, Kebab & Taco","267 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 23:59,15.000 - 90.000,Quận 1,10.7667355,106.6942193
120,Cháo Ếch Việt Sing - Nguyễn Cảnh Chân,"Tk 21/10 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",00:00 - 23:59,60.000 - 60.000,Quận 1,10.7917653,106.6893953
121,Bánh Mì & Sữa Bắp 122 - Bùi Thị Xuân,"122E Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 01:00 | 05:30 - 23:59,20.000 - 33.000,Quận 1,10.7908473,106.6865562
122,Twelve - Cơm Gà Hải Nam Singapore - Bùi Viện,"207 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,20.000 - 500.000,Quận 1,10.7719242,106.6924554
123,Cháo Sườn Cô Giang - Đinh Tiên Hoàng,"14B Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",00:00 - 23:59,15.000 - 29.000,Quận 1,10.7685232,106.6974842
124,Tiến Hải Quán - Bún Đậu Mắm Tôm Hà Nội - Nguyễn Thị Nghĩa,"8 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",,12.000 - 59.000,Quận 1,10.7629997,106.694062
125,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",,30.000 - 190.000,Quận 1,10.7679916,106.6917576
126,Cháo Ếch Singapore Lion King Dom - Cống Quỳnh,"191/A22 Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,50.000 - 80.000,Quận 1,10.7835028,106.6905496
127,Hủ Tiếu Nam Vang & Mì Bò Viên PugFoodNow,"212/325 Nguyễn Văn Nguyễn, P. Tân Định, Quận 1, TP. HCM",,35.000 - 35.000,Quận 1,10.7926284,106.6878703
128,Grand Castella - Bánh Bông Lan Đài Loan - Hàm Nghi,"82-84 Hàm Nghi, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 23:59,100.000 - 150.000,Quận 1,10.7643264,106.701441
129,Quán 185 - Cháo Trắng & Cơm Bình Dân - Nguyễn Trãi,"197 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:01 - 23:59,20.000 - 50.000,Quận 1,10.7917653,106.6868033
130,Út Hương - Cơm & Món Xào,"TK18/1 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",,35.000 - 220.000,Quận 1,10.7709739,106.6893953
131,Ngoại Ưi - Bánh Tráng Chấm - Lê Công Kiều,"36 Lê Công Kiều, P. Nguyễn Thái Bình, Quận 1, TP. HCM",,10.000 - 20.000,Quận 1,10.7630572,106.6994407
132,Bánh Mì Huynh Hoa - Bánh Mì Pate,"26 Lê Thị Riêng, P. Bến Thành, Quận 1, TP. HCM",06:00 - 22:20,38.000 - 38.000,Quận 1,10.7655737,106.6927189
133,Bánh Mì Bà Huynh - Cống Quỳnh,"185k Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",06:00 - 22:00,30.000 - 58.000,Quận 1,10.7632124,106.6905496
134,Cơm Chiên & Nui Xào Bò - Cống Quỳnh,"102/12 Cống Quỳnh, Quận 1, TP. HCM",,15.000 - 33.000,Quận 1,10.7653674,106.6912251
135,Mì Ý Double B - Trần Hưng Đạo,"Hẻm 391 TK40/24 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",,17.000 - 75.000,Quận 1,10.7709216,106.687149
